Filename,Filename2,Height_cm,Weight_kg,BMI,Age
D:\FBI CELEBS\Celeb-FBI Dataset\303_5.1h_54w_female_45a.png,303_5.1h_54w_female_45a.png,154.94,54,22.49399823,45
D:\FBI CELEBS\Celeb-FBI Dataset\304_5.9h_70w_female_31a.png,304_5.9h_70w_female_31a.png,175.26,70,22.78937555,31
D:\FBI CELEBS\Celeb-FBI Dataset\305_5.11h_60w_female_29a.png,305_5.11h_60w_female_29a.png,155.19,60,24.91287128,29
D:\FBI CELEBS\Celeb-FBI Dataset\306_6.1 0h_108w_male_38a.png,306_6.1 0h_108w_male_38a.png,0,108,,38
D:\FBI CELEBS\Celeb-FBI Dataset\308_5.5h_53w_female_30a.png,308_5.5h_53w_female_30a.png,165.1,53,19.44382587,30
D:\FBI CELEBS\Celeb-FBI Dataset\309_5.8h_68w_female_35a.png,309_5.8h_68w_female_35a.png,172.72,68,22.79416324,35
D:\FBI CELEBS\Celeb-FBI Dataset\310_6h_83w_male_50a.png,310_6h_83w_male_50a.png,182.88,83,24.81679346,50
D:\FBI CELEBS\Celeb-FBI Dataset\311_5.4h_54w_female_46a.png,311_5.4h_54w_female_46a.png,162.56,54,20.43461118,46
D:\FBI CELEBS\Celeb-FBI Dataset\312_6.2h_82w_male_55a.png,312_6.2h_82w_male_55a.png,187.96,82,23.21041896,55
D:\FBI CELEBS\Celeb-FBI Dataset\313_5.8h_63w_male_20a.png,313_5.8h_63w_male_20a.png,172.72,63,21.11812182,20
D:\FBI CELEBS\Celeb-FBI Dataset\314_5.8h_67w_male_27a.png,314_5.8h_67w_male_27a.png,172.72,67,22.45895495,27
D:\FBI CELEBS\Celeb-FBI Dataset\315_5.8h_54w_female_40a.png,315_5.8h_54w_female_40a.png,172.72,54,18.10124728,40
D:\FBI CELEBS\Celeb-FBI Dataset\316_6h_81w_male_38a.png,316_6h_81w_male_38a.png,182.88,81,24.21879844,38
D:\FBI CELEBS\Celeb-FBI Dataset\317_6h_87w_male_53a.png,317_6h_87w_male_53a.png,182.88,87,26.01278351,53
D:\FBI CELEBS\Celeb-FBI Dataset\318_5.11h_61w_female_41a.png,318_5.11h_61w_female_41a.png,155.19,61,25.3280858,41
D:\FBI CELEBS\Celeb-FBI Dataset\319_5.9h_62w_female_53a.png,319_5.9h_62w_female_53a.png,175.26,62,20.18487549,53
D:\FBI CELEBS\Celeb-FBI Dataset\320_5.7h_55w_female_45a.png,320_5.7h_55w_female_45a.png,170.18,55,18.99090454,45
D:\FBI CELEBS\Celeb-FBI Dataset\321_5.7h_67w_male_36a.png,321_5.7h_67w_male_36a.png,170.18,67,23.13437463,36
D:\FBI CELEBS\Celeb-FBI Dataset\322_5.8h_63w_female_31a.png,322_5.8h_63w_female_31a.png,172.72,63,21.11812182,31
D:\FBI CELEBS\Celeb-FBI Dataset\323_5.6h_75w_male_34a.png,323_5.6h_75w_male_34a.png,167.64,75,26.6873812,34
D:\FBI CELEBS\Celeb-FBI Dataset\324_5.10h_82w_male_35a.png,324_5.10h_82w_male_35a.png,154.94,82,34.15755286,35
D:\FBI CELEBS\Celeb-FBI Dataset\325_6.5h_111w_male_34a.png,325_6.5h_111w_male_34a.png,195.58,111,29.01844225,34
D:\FBI CELEBS\Celeb-FBI Dataset\326_5.8h_70w_male_49a.png,326_5.8h_70w_male_49a.png,172.72,70,23.4645798,49
D:\FBI CELEBS\Celeb-FBI Dataset\327_5.11h_70w_female_32a.png,327_5.11h_70w_female_32a.png,155.19,70,29.06501649,32
D:\FBI CELEBS\Celeb-FBI Dataset\328_6.3h_92w_male_52a.png,328_6.3h_92w_male_52a.png,190.5,92,25.35116181,52
D:\FBI CELEBS\Celeb-FBI Dataset\329_6.2h_80w_male_28a.png,329_6.2h_80w_male_28a.png,187.96,80,22.64431118,28
D:\FBI CELEBS\Celeb-FBI Dataset\330_6.1h_91w_male_42a.png,330_6.1h_91w_male_42a.png,185.42,91,26.4684335,42
D:\FBI CELEBS\Celeb-FBI Dataset\331_5.9h_82w_male_56a.png,331_5.9h_82w_male_56a.png,175.26,82,26.69612565,56
D:\FBI CELEBS\Celeb-FBI Dataset\332_5.3h_50w_female_42a.png,332_5.3h_50w_female_42a.png,160.02,50,19.5263681,42
D:\FBI CELEBS\Celeb-FBI Dataset\333_5.10h_74w_male_47a.png,333_5.10h_74w_male_47a.png,154.94,74,30.82510868,47
D:\FBI CELEBS\Celeb-FBI Dataset\334_6.11h_104w_male_44a.png,334_6.11h_104w_male_44a.png,185.67,104,30.16823236,44
D:\FBI CELEBS\Celeb-FBI Dataset\335_6h_80w_male_40a.png,335_6h_80w_male_40a.png,182.88,80,23.91980093,40
D:\FBI CELEBS\Celeb-FBI Dataset\337_5.11h_76w_male_56a.png,337_5.11h_76w_male_56a.png,155.19,76,31.55630362,56
D:\FBI CELEBS\Celeb-FBI Dataset\338_5.1h_62w_female_56a.png,338_5.1h_62w_female_56a.png,154.94,62,25.82644241,56
D:\FBI CELEBS\Celeb-FBI Dataset\339_6.1h_109w_male_48a.png,339_6.1h_109w_male_48a.png,185.42,109,31.70394781,48
D:\FBI CELEBS\Celeb-FBI Dataset\340_5.10h_76w_male_36a.png,340_5.10h_76w_male_36a.png,154.94,76,31.65821973,36
D:\FBI CELEBS\Celeb-FBI Dataset\341_5.10h_55w_female_48a.png,341_5.10h_55w_female_48a.png,154.94,55,22.91055375,48
D:\FBI CELEBS\Celeb-FBI Dataset\342_6.5h_87w_male_36a.png,342_6.5h_87w_male_36a.png,195.58,87,22.74418447,36
D:\FBI CELEBS\Celeb-FBI Dataset\343_5.11h_75w_male_30a.png,343_5.11h_75w_male_30a.png,155.19,75,31.1410891,30
D:\FBI CELEBS\Celeb-FBI Dataset\344_5.5h_50w_female_35a.png,344_5.5h_50w_female_35a.png,165.1,50,18.34323195,35
D:\FBI CELEBS\Celeb-FBI Dataset\347_5.1h_46w_female_25a.png,347_5.1h_46w_female_25a.png,154.94,46,19.16155404,25
D:\FBI CELEBS\Celeb-FBI Dataset\348_5.5h_58w_female_40a.png,348_5.5h_58w_female_40a.png,165.1,58,21.27814907,40
D:\FBI CELEBS\Celeb-FBI Dataset\349_6.1h_99w_male_31a.png,349_6.1h_99w_male_31a.png,185.42,99,28.79532875,31
D:\FBI CELEBS\Celeb-FBI Dataset\351_5.8h_64w_female_41a.png,351_5.8h_64w_female_41a.png,172.72,64,21.4533301,41
D:\FBI CELEBS\Celeb-FBI Dataset\352_5.5h_59w_female_54a.png,352_5.5h_59w_female_54a.png,165.1,59,21.6450137,54
D:\FBI CELEBS\Celeb-FBI Dataset\354_6.2h_89w_male_43a.png,354_6.2h_89w_male_43a.png,187.96,89,25.19179618,43
D:\FBI CELEBS\Celeb-FBI Dataset\355_5.11h_85w_male_39a.png,355_5.11h_85w_male_39a.png,155.19,85,35.29323431,39
D:\FBI CELEBS\Celeb-FBI Dataset\356_5.3h_48w_female_48a.png,356_5.3h_48w_female_48a.png,160.02,48,18.74531338,48
D:\FBI CELEBS\Celeb-FBI Dataset\357_5.11h_84w_male_50a.png,357_5.11h_84w_male_50a.png,155.19,84,34.87801979,50
D:\FBI CELEBS\Celeb-FBI Dataset\358_5.10h_73w_male_39a.png,358_5.10h_73w_male_39a.png,154.94,73,30.40855316,39
D:\FBI CELEBS\Celeb-FBI Dataset\359_5.6h_55w_female_50a.png,359_5.6h_55w_female_50a.png,167.64,55,19.57074621,50
D:\FBI CELEBS\Celeb-FBI Dataset\360_6.2h_92w_male_44a.png,360_6.2h_92w_male_44a.png,187.96,92,26.04095785,44
D:\FBI CELEBS\Celeb-FBI Dataset\361_5.6h_63w_female_26a.png,361_5.6h_63w_female_26a.png,167.64,63,22.41740021,26
D:\FBI CELEBS\Celeb-FBI Dataset\362_5.10h_91w_male_47a.png,362_5.10h_91w_male_47a.png,154.94,91,37.90655257,47
D:\FBI CELEBS\Celeb-FBI Dataset\363_5.11h_88w_male_41a.png,363_5.11h_88w_male_41a.png,155.19,88,36.53887788,41
D:\FBI CELEBS\Celeb-FBI Dataset\364_5.11h_76w_male_53a.png,364_5.11h_76w_male_53a.png,155.19,76,31.55630362,53
D:\FBI CELEBS\Celeb-FBI Dataset\365_6h_59w_female_43a.png,365_6h_59w_female_43a.png,182.88,59,17.64085318,43
D:\FBI CELEBS\Celeb-FBI Dataset\366_5.2h_66w_female_53a.png,366_5.2h_66w_female_53a.png,157.48,66,26.61295645,53
D:\FBI CELEBS\Celeb-FBI Dataset\367_5.8h_58w_female_35a.png,367_5.8h_58w_female_35a.png,172.72,58,19.44208041,35
D:\FBI CELEBS\Celeb-FBI Dataset\369_6h_75w_male_48a.png,369_6h_75w_male_48a.png,182.88,75,22.42481337,48
D:\FBI CELEBS\Celeb-FBI Dataset\370_6.8h_138w_male_58a.png,370_6.8h_138w_male_58a.png,203.2,138,33.42194184,58
D:\FBI CELEBS\Celeb-FBI Dataset\371_6.3h_111w_male_36a.png,371_6.3h_111w_male_36a.png,190.5,111,30.58672784,36
D:\FBI CELEBS\Celeb-FBI Dataset\372_5.4h_54w_female_42a.png,372_5.4h_54w_female_42a.png,162.56,54,20.43461118,42
D:\FBI CELEBS\Celeb-FBI Dataset\373_5.4h_53w_female_44a.png,373_5.4h_53w_female_44a.png,162.56,53,20.05619246,44
D:\FBI CELEBS\Celeb-FBI Dataset\374_5.6h_62w_female_44a.png,374_5.6h_62w_female_44a.png,167.64,62,22.06156846,44
D:\FBI CELEBS\Celeb-FBI Dataset\375_5.10h_76w_male_44a.png,375_5.10h_76w_male_44a.png,154.94,76,31.65821973,44
D:\FBI CELEBS\Celeb-FBI Dataset\376_6.3h_90w_male_42a.png,376_6.3h_90w_male_42a.png,190.5,90,24.8000496,42
D:\FBI CELEBS\Celeb-FBI Dataset\377_6.8h_102w_male_31a.png,377_6.8h_102w_male_31a.png,203.2,102,24.70317441,31
D:\FBI CELEBS\Celeb-FBI Dataset\378_6h_81w_male_44a.png,378_6h_81w_male_44a.png,182.88,81,24.21879844,44
D:\FBI CELEBS\Celeb-FBI Dataset\379_6.9h_54w_female_29a.png,379_6.9h_54w_female_29a.png,205.74,54,12.75722716,29
D:\FBI CELEBS\Celeb-FBI Dataset\380_6.11h_120w_male_35a.png,380_6.11h_120w_male_35a.png,185.67,120,34.80949888,35
D:\FBI CELEBS\Celeb-FBI Dataset\381_5.6h_57w_female_38a.png,381_5.6h_57w_female_38a.png,167.64,57,20.28240971,38
D:\FBI CELEBS\Celeb-FBI Dataset\382_6.1h_80w_male_51a.png,382_6.1h_80w_male_51a.png,185.42,80,23.26895252,51
D:\FBI CELEBS\Celeb-FBI Dataset\384_6.2h_93w_male_52a.png,384_6.2h_93w_male_52a.png,187.96,93,26.32401174,52
D:\FBI CELEBS\Celeb-FBI Dataset\385_6.9h_100w_male_33a.png,385_6.9h_100w_male_33a.png,205.74,100,23.62449474,33
D:\FBI CELEBS\Celeb-FBI Dataset\386_6.1h_77w_male_40a.png,386_6.1h_77w_male_40a.png,185.42,77,22.3963668,40
D:\FBI CELEBS\Celeb-FBI Dataset\387_5.11h_75w_male_68a.png,387_5.11h_75w_male_68a.png,155.19,75,31.1410891,68
D:\FBI CELEBS\Celeb-FBI Dataset\388_5.10h_57w_female_52a.png,388_5.10h_57w_female_52a.png,154.94,57,23.74366479,52
D:\FBI CELEBS\Celeb-FBI Dataset\390_6h_93w_male_37a.png,390_6h_93w_male_37a.png,182.88,93,27.80676858,37
D:\FBI CELEBS\Celeb-FBI Dataset\391_5.7h_72w_male_59a.png,391_5.7h_72w_male_59a.png,170.18,72,24.86082049,59
D:\FBI CELEBS\Celeb-FBI Dataset\392_5.2h_54w_female_57a.png,392_5.2h_54w_female_57a.png,157.48,54,21.7742371,57
D:\FBI CELEBS\Celeb-FBI Dataset\393_5.8h_58w_female_56a.png,393_5.8h_58w_female_56a.png,172.72,58,19.44208041,56
D:\FBI CELEBS\Celeb-FBI Dataset\395_6.1h_86w_male_58a.png,395_6.1h_86w_male_58a.png,185.42,86,25.01412396,58
D:\FBI CELEBS\Celeb-FBI Dataset\396_6h_85w_male_67a.png,396_6h_85w_male_67a.png,182.88,85,25.41478848,67
D:\FBI CELEBS\Celeb-FBI Dataset\397_5.6h_54w_female_47a.png,397_5.6h_54w_female_47a.png,167.64,54,19.21491446,47
D:\FBI CELEBS\Celeb-FBI Dataset\398_6.11h_113w_male_47a.png,398_6.11h_113w_male_47a.png,185.67,113,32.77894478,47
D:\FBI CELEBS\Celeb-FBI Dataset\399_6.3h_89w_male_49a.png,399_6.3h_89w_male_49a.png,190.5,89,24.52449349,49
D:\FBI CELEBS\Celeb-FBI Dataset\400_6.4h_90w_male_71a.png,400_6.4h_90w_male_71a.png,193.04,90,24.15171035,71
D:\FBI CELEBS\Celeb-FBI Dataset\401_5.9h_63w_female_33a.png,401_5.9h_63w_female_33a.png,175.26,63,20.510438,33
D:\FBI CELEBS\Celeb-FBI Dataset\402_6.5h_102w_male_40a.png,402_6.5h_102w_male_40a.png,195.58,102,26.66559558,40
D:\FBI CELEBS\Celeb-FBI Dataset\404_5.10h_55w_female_59a.png,404_5.10h_55w_female_59a.png,154.94,55,22.91055375,59
D:\FBI CELEBS\Celeb-FBI Dataset\405_5.10h_75w_male_34a.png,405_5.10h_75w_male_34a.png,154.94,75,31.2416642,34
D:\FBI CELEBS\Celeb-FBI Dataset\407_5.9h_80w_male_46a.png,407_5.9h_80w_male_46a.png,175.26,80,26.04500063,46
D:\FBI CELEBS\Celeb-FBI Dataset\408_5.4h_55w_female_72a.png,408_5.4h_55w_female_72a.png,162.56,55,20.81302991,72
D:\FBI CELEBS\Celeb-FBI Dataset\409_5.10h_57w_female_63a.png,409_5.10h_57w_female_63a.png,154.94,57,23.74366479,63
D:\FBI CELEBS\Celeb-FBI Dataset\410_5.7h_63w_female_67a.png,410_5.7h_63w_female_67a.png,170.18,63,21.75321793,67
D:\FBI CELEBS\Celeb-FBI Dataset\411_6.8h_109w_male_39a.png,411_6.8h_109w_male_39a.png,203.2,109,26.3984903,39
D:\FBI CELEBS\Celeb-FBI Dataset\412_5.1h_53w_female_37a.png,412_5.1h_53w_female_37a.png,154.94,53,22.0774427,37
D:\FBI CELEBS\Celeb-FBI Dataset\413_6.2h_87w_male_70a.png,413_6.2h_87w_male_70a.png,187.96,87,24.6256884,70
D:\FBI CELEBS\Celeb-FBI Dataset\414_5.9h_57w_female_45a.png,414_5.9h_57w_female_45a.png,175.26,57,18.55706295,45
D:\FBI CELEBS\Celeb-FBI Dataset\415_6.7h_106w_male_43a.png,415_6.7h_106w_male_43a.png,200.66,106,26.32596196,43
D:\FBI CELEBS\Celeb-FBI Dataset\416_6.4h_88w_male_38a.png,416_6.4h_88w_male_38a.png,193.04,88,23.61500568,38
D:\FBI CELEBS\Celeb-FBI Dataset\418_5.11h_60w_female_36a.png,418_5.11h_60w_female_36a.png,155.19,60,24.91287128,36
D:\FBI CELEBS\Celeb-FBI Dataset\419_6.1h_114w_male_35a.png,419_6.1h_114w_male_35a.png,185.42,114,33.15825735,35
D:\FBI CELEBS\Celeb-FBI Dataset\420_5.6h_69w_male_43a.png,420_5.6h_69w_male_43a.png,167.64,69,24.5523907,43
D:\FBI CELEBS\Celeb-FBI Dataset\421_5.10h_78w_male_60a.png,421_5.10h_78w_male_60a.png,154.94,78,32.49133077,60
D:\FBI CELEBS\Celeb-FBI Dataset\422_5.11h_70w_female_36a.png,422_5.11h_70w_female_36a.png,155.19,70,29.06501649,36
D:\FBI CELEBS\Celeb-FBI Dataset\423_6.1 0h_104w_male_44a.png,423_6.1 0h_104w_male_44a.png,0,104,,44
D:\FBI CELEBS\Celeb-FBI Dataset\424_5.10h_71w_female_30a.png,424_5.10h_71w_female_30a.png,154.94,71,29.57544211,30
D:\FBI CELEBS\Celeb-FBI Dataset\425_5.10h_75w_male_34a.png,425_5.10h_75w_male_34a.png,154.94,75,31.2416642,34
D:\FBI CELEBS\Celeb-FBI Dataset\426_5.2h_52w_female_27a.png,426_5.2h_52w_female_27a.png,157.48,52,20.96778387,27
D:\FBI CELEBS\Celeb-FBI Dataset\427_5.7h_57w_female_37a.png,427_5.7h_57w_female_37a.png,170.18,57,19.68148289,37
D:\FBI CELEBS\Celeb-FBI Dataset\428_5.7h_53w_female_25a.png,428_5.7h_53w_female_25a.png,170.18,53,18.3003262,25
D:\FBI CELEBS\Celeb-FBI Dataset\429_6h_61w_female_58a.png,429_6h_61w_female_58a.png,182.88,61,18.23884821,58
D:\FBI CELEBS\Celeb-FBI Dataset\430_6.1h_79w_male_27a.png,430_6.1h_79w_male_27a.png,185.42,79,22.97809062,27
D:\FBI CELEBS\Celeb-FBI Dataset\432_5.5h_53w_male_34a.png,432_5.5h_53w_male_34a.png,165.1,53,19.44382587,34
D:\FBI CELEBS\Celeb-FBI Dataset\433_5.9h_70w_male_37a.png,433_5.9h_70w_male_37a.png,175.26,70,22.78937555,37
D:\FBI CELEBS\Celeb-FBI Dataset\434_5.11h_68w_male_33a.png,434_5.11h_68w_male_33a.png,155.19,68,28.23458745,33
D:\FBI CELEBS\Celeb-FBI Dataset\435_5.4h_55w_female_38a.png,435_5.4h_55w_female_38a.png,162.56,55,20.81302991,38
D:\FBI CELEBS\Celeb-FBI Dataset\436_5.4h_57w_female_28a.png,436_5.4h_57w_female_28a.png,162.56,57,21.56986736,28
D:\FBI CELEBS\Celeb-FBI Dataset\437_6h_79w_male_39a.png,437_6h_79w_male_39a.png,182.88,79,23.62080341,39
D:\FBI CELEBS\Celeb-FBI Dataset\438_6.6h_89w_male_35a.png,438_6.6h_89w_male_35a.png,198.12,89,22.67427283,35
D:\FBI CELEBS\Celeb-FBI Dataset\439_5.9h_70w_male_36a.png,439_5.9h_70w_male_36a.png,175.26,70,22.78937555,36
D:\FBI CELEBS\Celeb-FBI Dataset\440_5.9h_72w_male_40a.png,440_5.9h_72w_male_40a.png,175.26,72,23.44050057,40
